libxt 1.1.5-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxxf86vm 1.1.4-1
libyaml 0.1.6-1
libzip 1.1.2-1
licenses 20140629-1
light-git v0.9.r6.g075bd64-1
linux 4.4.1-2
linux-api-headers 4.4.1-1
linux-firmware 20160113.40e9ae8-1
linux-headers 4.4.1-2
linux-lts-headers 4.1.18-1
llvm-libs 3.7.1-1
logrotate 3.9.1-1
lsof 4.89-1
lua 5.3.2-1
lua-lgi 0.9.0-1
lua51 5.1.5-4
lua51-lpeg 1.0.0-1
lua51-messagepack 0.3.4-1
luajit 2.0.4-2
lvm2 2.02.141-1
lxappearance 0.6.2-1
lz4 131-1
lzo 2.09-1
m4 1.4.17-1
mac-os-lion-cursors 2.0-2
make 4.1-3
man-db 2.7.5-1
man-pages 4.04-1
mariadb 10.1.12-2
mariadb-clients 10.1.12-2
mcpp 2.7.2-5
mdadm 3.4-1
mesa 11.1.2-1
mime-types 9-1
mkinitcpio 19-1
mkinitcpio-busybox 1.21.1-2
mobile-broadband-provider-info 20151214-1
mopidy 2.0.0-2
mopidy-mopify 1.1.4-1
mopidy-spotify 1.2.0-1
mozilla-common 1.4-4
mpfr 3.1.3.p5-1
msgpack-c 1.4.0-1
mtdev 1.1.5-1
muffin 2.8.4-1
mutt 1.5.24-2
mysql-python 1.2.5-1
mysql-workbench-gpl 6.2.3-2
nano 2.5.3-1
nasm 2.11.08-1
nautilus 3.18.5-1
nautilus-sendto 3.8.2-1
ncurses 6.0-4
ncurses5-compat-libs 6.0-2
nemo 2.8.6-2
neovim 0.1.2-1
net-tools 1.60.20130531git-1
netcdf 4.3.3.1-2
netctl 1.11-1
nettle 3.2-1
network-manager-applet 1.0.10-1
networkmanager 1.0.10-2
nfs-utils 1.3.3-3
nfsidmap 0.26-1
nm-connection-editor 1.0.10-1
nodejs 5.7.1-1
npm 3.7.5-1
npth 1.2-1
nspr 4.12-1
nss 3.22.1-1
nvidia 361.28-1
nvidia-libgl 361.28-5
nvidia-utils 361.28-5
ocl-icd 2.2.8-1
opencore-amr 0.1.3-2
openjpeg 1.5.2-1
openjpeg2 2.1.0-1
openresolv 3.7.2-1
openssh 7.2p1-1
openssl 1.0.2.f-1
opus 1.1.2-1
orbit2 2.14.19-3
orc 0.4.24-1
p11-kit 0.23.2-1
package-query 1.8-1
pacman 5.0.1-2
pacman-mirrorlist 20160227-1
pam 1.2.1-3
pambase 20130928-1
pango 1.39.0-1
pango-perl 1.226-2
pangomm 2.38.1-2
patch 2.7.5-1
pciutils 3.4.0-1
pcmciautils 018-7
pcre 8.38-2
perl 5.22.1-1
perl-bit-vector 7.4-2
perl-carp-clan 6.04-3
perl-class-accessor 0.34-4
perl-class-data-inheritable 0.08-6
perl-common-sense 3.74-1
perl-data-random 0.12-1
perl-date-calc 6.4-1
perl-digest-hmac 1.03-3
perl-digest-sha1 2.13-6
perl-encode-locale 1.05-1
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-file-copy-recursive 0.38-1
perl-file-listing 6.04-2
perl-file-slurp-tiny 0.004-1
perl-file-which 1.18-1
perl-gd 2.56-3
perl-gnome2-wnck 0.16-10
perl-goo-canvas 0.06-5
perl-gtk2-imageview 0.05-5
perl-gtk2-unique 0.05-11
perl-html-form 6.03-2
perl-html-parser 3.72-1
perl-html-tagset 3.20-4
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.11-2
perl-http-negotiate 6.01-2
perl-http-response-encoding 0.06-3
perl-http-server-simple 0.44-2
perl-image-exiftool 10.10-1
perl-io-html 1.001-1
perl-io-socket-ssl 2.020-1
perl-ipc-system-simple 1.25-1
perl-json 2.90-1
perl-json-xs 3.01-4
perl-libwww 6.15-1
perl-locale-gettext 1.05-12
perl-lwp-mediatypes 6.02-2
perl-lwp-protocol-https 6.06-2
perl-mouse 2.4.5-1
perl-mozilla-ca 20160104-1
perl-net-dbus 1.1.0-2
perl-net-dropbox-api 1.9-3
perl-net-http 6.09-1
perl-net-oauth 0.28-4
perl-net-ssleay 1.72-2
perl-path-class 0.35-1
perl-proc-processtable 0.53-1
perl-proc-simple 1.32-1
perl-sort-naturally 1.03-1
perl-sub-uplevel 0.25-1
perl-test-warn 0.30-1
perl-text-iconv 1.7-10
perl-tree-dag-node 1.27-1
perl-types-serialiser 1.0-1
perl-uri 1.71-1
perl-www-mechanize 1.74-1
perl-www-robotrules 6.02-2
perl-x11-protocol 0.56-6
perl-xml-namespacesupport 1.11-3
perl-xml-parser 2.44-2
perl-xml-sax 0.99-4
perl-xml-sax-base 1.08-3
perl-xml-sax-expat 0.51-3
perl-xml-simple 2.22-1
perl-xml-twig 3.49-1
perl-yaml-tiny 1.69-1
pinentry 0.9.7-1
pixman 0.34.0-1
pkg-config 0.29-1
polkit 0.113-4
polkit-gnome 0.105-3
poppler 0.41.0-1
poppler-glib 0.41.0-1
popt 1.16-7
postgresql-libs 9.5.1-1
presentproto 1.0-1
printproto 1.0.5-3
procps-ng 3.3.11-2
